Ticker,Date/Time,Close,% Today,% Week,% Month,% Top,Volume,% Volume,Value,BarSwing<7%,Short,Middle,Long,EPS,Market,Industry,Sector
SHS,17/09/2021 00:00:00,40.00,3.63,-0.99,21.31,-5.88,6353100.00,98.41,254124000.00,5.00,Buy,Buy,Buy,4.72,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
SJS,17/09/2021 00:00:00,60.00,-1.96,-3.38,-7.55,-11.76,121900.00,161.30,7314000.00,5.00,Sell,Buy,Buy,0.44,HSX,8630 Bat dong san,8000 Tai chinh
SKG,17/09/2021 00:00:00,15.55,1.63,15.61,32.34,-1.89,1216100.00,137.99,18910356.00,1.00,Buy,Buy,Buy,0.35,HSX,2770 Van tai,2000 Cong nghiep
SSI,17/09/2021 00:00:00,43.00,1.18,-1.83,8.72,-5.08,14047100.00,100.66,604025280.00,6.00,Buy,Buy,Buy,2.57,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
SZC,17/09/2021 00:00:00,46.30,-0.22,-3.28,1.94,-4.74,913500.00,70.53,42295048.00,5.00,Buy,Buy,Buy,2.12,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
TAR,17/09/2021 00:00:00,23.00,0.44,18.56,40.24,-2.95,1869800.00,212.30,43005400.00,1.00,Buy,Buy,Buy,1.87,HNX,3570 San xuat thuc pham,3000 Hang Tieu dung
TCB,17/09/2021 00:00:00,49.75,1.32,0.91,-4.33,-15.10,8274500.00,69.31,411656384.00,11.00,Sell,Sell,Buy,4.07,HSX,8350 Ngan hang,8000 Tai chinh
TDH,17/09/2021 00:00:00,11.55,6.94,39.49,49.61,0.00,1980700.00,63.44,22877086.00,2.00,Buy,Buy,Buy,-0.27,HSX,8630 Bat dong san,8000 Tai chinh
TDM,17/09/2021 00:00:00,30.90,1.64,0.65,4.39,-3.44,517700.00,64.94,15996930.00,8.00,Buy,Buy,Buy,2.61,HSX,7570 Nuoc & Khi dot,7000 Tien ich Cong dong
TIG,17/09/2021 00:00:00,16.10,8.05,3.21,6.62,-5.85,992800.00,90.94,15984080.00,0.00,Buy,Buy,Buy,0.95,HNX,8630 Bat dong san,8000 Tai chinh
TNA,17/09/2021 00:00:00,13.75,4.96,4.96,14.58,-4.51,888800.00,225.26,12221000.00,0.00,Sell,Buy,Buy,1.05,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
TNG,17/09/2021 00:00:00,32.40,-1.82,5.19,33.88,-3.86,2527900.00,68.73,81903960.00,2.00,Buy,Buy,Buy,1.90,HNX,3760 Hang ca nhan,3000 Hang Tieu dung
TPB,17/09/2021 00:00:00,40.80,5.56,9.09,12.09,0.00,11835000.00,209.00,482868000.00,2.00,Buy,Buy,Buy,3.58,HSX,8350 Ngan hang,8000 Tai chinh
TTF,17/09/2021 00:00:00,7.18,3.01,-0.55,-2.97,-18.69,5320900.00,95.13,38204060.00,2.00,Buy,Sell,Buy,-0.03,HSX,3720 Hang gia dung,3000 Hang Tieu dung
TVB,17/09/2021 00:00:00,23.80,5.78,-0.83,38.37,-8.11,489500.00,25.64,11650100.00,2.00,Buy,Buy,Buy,1.97,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
VCI,17/09/2021 00:00:00,63.50,1.11,-0.78,15.58,-3.79,11472700.00,197.90,728516480.00,2.00,Buy,Buy,Buy,5.69,HSX,8780 Cong ty Chung khoan,8000 Tai chinh
VCR,17/09/2021 00:00:00,29.70,-1.98,-2.94,33.78,-7.19,194200.00,52.18,5767740.00,1.00,Buy,Buy,Buy,-0.08,UPCOM,8630 Bat dong san,8000 Tai chinh
VCS,17/09/2021 00:00:00,121.00,2.72,3.68,0.00,-5.10,469400.00,130.85,56797400.00,15.00,Sell,Buy,Buy,9.34,HNX,2350 Xay dung va Vat lieu,2000 Cong nghiep
VGC,17/09/2021 00:00:00,34.30,0.59,-4.72,0.44,-11.37,1351100.00,51.54,46342728.00,4.00,Sell,Buy,Buy,1.59,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
VGT,17/09/2021 00:00:00,22.40,1.36,4.67,20.43,-2.61,6422000.00,92.95,143852800.00,2.00,Buy,Buy,Buy,0.45,UPCOM,3760 Hang ca nhan,3000 Hang Tieu dung
VHC,17/09/2021 00:00:00,51.80,-1.15,-0.38,22.89,-3.72,2425900.00,85.83,125661616.00,6.00,Buy,Buy,Buy,3.73,HSX,3570 San xuat thuc pham,3000 Hang Tieu dung
VHM,17/09/2021 00:00:00,81.20,1.37,-0.47,-8.55,-12.22,6873600.00,52.89,558136320.00,20.00,Sell,Sell,Buy,7.88,HSX,8630 Bat dong san,8000 Tai chinh
VIP,17/09/2021 00:00:00,12.15,6.58,26.17,46.39,0.00,2842200.00,178.25,34532728.00,1.00,Buy,Buy,Buy,0.77,HSX,2770 Van tai,2000 Cong nghiep
VJC,17/09/2021 00:00:00,124.90,-0.87,-3.78,5.22,-3.92,1237700.00,109.92,154588736.00,16.00,Buy,Buy,Buy,2.18,HSX,5750 Du lich & Giai tri,5000 Dich vu Tieu dung
VND,17/09/2021 00:00:00,54.30,3.04,1.12,4.42,-2.16,12264200.00,110.49,665946048.00,8.00,Buy,Buy,Buy,5.17,HNX,8780 Cong ty Chung khoan,8000 Tai chinh
VNE,17/09/2021 00:00:00,8.96,2.99,11.17,9.94,-2.61,1873500.00,186.94,16786560.00,0.00,Buy,Buy,Buy,0.24,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
VPG,17/09/2021 00:00:00,59.10,1.37,5.91,20.98,-0.67,539500.00,113.85,31884450.00,3.00,Buy,Buy,Buy,5.78,HSX,1770 Khai khoang,1000 Nguyen vat lieu
VSC,17/09/2021 00:00:00,68.00,0.00,-0.29,-6.08,-6.85,243600.00,214.05,16564800.00,3.00,Buy,Buy,Buy,4.49,HSX,2770 Van tai,2000 Cong nghiep
